Time (s),Image name,Description
0,1,"Welcome, Agenda and Format"
60,2,Why Speed Matters in Automotive
180,3,Electrification Targets and Current Progress
320,4,CO2 Reduction and Supply Chain Sustainability
460,5,Volvo Car Superset Tech Stack Overview
570,6,Central Compute and OTA: Upgradable Vehicles (EX90)
680,7,Key Problem Statements Driving Innovation
770,8,Volvo Cars Tech Fund: Mandate and Model
880,9,Investment Focus Areas
970,10,Deal Sourcing and Funnel Metrics
1080,11,"What Startups Get: Validation, Network, Coâ€‘Development"
1160,12,Measuring Collaboration Success: TRL vs. Readiness
1330,13,New Opportunities from Collaboration + Success Factors
1452,qa,Audience Q&A
